publication_DOI_from_CRIS_system;DataCite_request_API;author_names;number_of_author_names;total_length_author_names;found_dataset_DOI;match_percentage_authors
10.1177/02692163211019321;https://api.datacite.org/dois?query=Tinne+Smets+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.6084/m9.figshare.c.5330259;0.4166666666666667
10.1177/02692163211019321;https://api.datacite.org/dois?query=Tinne+Smets+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.6084/m9.figshare.c.5330259.v1;0.4166666666666667
10.1016/j.scitotenv.2021.147075;https://api.datacite.org/dois?query=Willy+Baeyens+publicationYear:2021;['Ehab', 'Abdulbur Alfakhory', 'Natacha', 'Brion', 'Marek', 'Reichstädter', 'Martine', 'Leermakers', 'Willy', 'Baeyens'];10;80;10.48580/d4sv;0.6
10.1016/j.scitotenv.2021.147075;https://api.datacite.org/dois?query=Willy+Baeyens+publicationYear:2021;['Ehab', 'Abdulbur Alfakhory', 'Natacha', 'Brion', 'Marek', 'Reichstädter', 'Martine', 'Leermakers', 'Willy', 'Baeyens'];10;80;10.48580/d4sl-3gb;0.4
10.1016/j.scitotenv.2021.147075;https://api.datacite.org/dois?query=Willy+Baeyens+publicationYear:2021;['Ehab', 'Abdulbur Alfakhory', 'Natacha', 'Brion', 'Marek', 'Reichstädter', 'Martine', 'Leermakers', 'Willy', 'Baeyens'];10;80;10.48580/d4sg;0.6
10.1016/j.scitotenv.2021.147075;https://api.datacite.org/dois?query=Willy+Baeyens+publicationYear:2021;['Ehab', 'Abdulbur Alfakhory', 'Natacha', 'Brion', 'Marek', 'Reichstädter', 'Martine', 'Leermakers', 'Willy', 'Baeyens'];10;80;10.48580/d4sd-3gb;0.4
10.1016/j.scitotenv.2021.147075;https://api.datacite.org/dois?query=Willy+Baeyens+publicationYear:2021;['Ehab', 'Abdulbur Alfakhory', 'Natacha', 'Brion', 'Marek', 'Reichstädter', 'Martine', 'Leermakers', 'Willy', 'Baeyens'];10;80;10.48580/d4sb;0.6
10.1016/j.scitotenv.2021.147075;https://api.datacite.org/dois?query=Willy+Baeyens+publicationYear:2021;['Ehab', 'Abdulbur Alfakhory', 'Natacha', 'Brion', 'Marek', 'Reichstädter', 'Martine', 'Leermakers', 'Willy', 'Baeyens'];10;80;10.48580/d4sb-3gb;0.4
10.1177/02692163211019321;https://api.datacite.org/dois?query=Lieve+Van den Block+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.6084/m9.figshare.16576032.v1;0.16666666666666666
10.1177/02692163211019321;https://api.datacite.org/dois?query=Lieve+Van den Block+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.6084/m9.figshare.16576032;0.16666666666666666
10.1177/02692163211019321;https://api.datacite.org/dois?query=Lieve+Van den Block+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.6084/m9.figshare.c.5605758;0.16666666666666666
10.1177/02692163211019321;https://api.datacite.org/dois?query=Lieve+Van den Block+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.6084/m9.figshare.c.5605758.v1;0.16666666666666666
10.1177/02692163211019321;https://api.datacite.org/dois?query=Lieve+Van den Block+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.25384/sage.16530805;0.16666666666666666
10.1177/02692163211019321;https://api.datacite.org/dois?query=Lieve+Van den Block+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.25384/sage.c.5592517.v1;0.16666666666666666
10.1177/02692163211019321;https://api.datacite.org/dois?query=Lieve+Van den Block+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.25384/sage.16530808.v1;0.16666666666666666
10.1177/02692163211019321;https://api.datacite.org/dois?query=Lieve+Van den Block+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.25384/sage.16530805.v1;0.16666666666666666
10.1177/02692163211019321;https://api.datacite.org/dois?query=Lieve+Van den Block+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.25384/sage.16530808;0.16666666666666666
10.1177/02692163211019321;https://api.datacite.org/dois?query=Lieve+Van den Block+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.25384/sage.c.5592517;0.16666666666666666
10.1177/02692163211019321;https://api.datacite.org/dois?query=Lieve+Van den Block+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.25384/sage.c.5579676;0.16666666666666666
10.1177/02692163211019321;https://api.datacite.org/dois?query=Lieve+Van den Block+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.25384/sage.16428879;0.16666666666666666
10.1177/02692163211019321;https://api.datacite.org/dois?query=Lieve+Van den Block+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.25384/sage.16428879.v1;0.16666666666666666
10.1177/02692163211019321;https://api.datacite.org/dois?query=Lieve+Van den Block+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.25384/sage.16428873.v1;0.16666666666666666
10.1177/02692163211019321;https://api.datacite.org/dois?query=Lieve+Van den Block+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.25384/sage.c.5579676.v1;0.16666666666666666
10.1177/02692163211019321;https://api.datacite.org/dois?query=Lieve+Van den Block+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.25384/sage.16428876.v1;0.16666666666666666
10.1177/02692163211019321;https://api.datacite.org/dois?query=Lieve+Van den Block+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.25384/sage.16428870.v1;0.16666666666666666
10.1177/02692163211019321;https://api.datacite.org/dois?query=Lieve+Van den Block+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.25384/sage.16428876;0.16666666666666666
10.1177/02692163211019321;https://api.datacite.org/dois?query=Lieve+Van den Block+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.25384/sage.16428873;0.16666666666666666
10.1177/02692163211019321;https://api.datacite.org/dois?query=Lieve+Van den Block+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.25384/sage.16428870;0.16666666666666666
10.1177/02692163211019321;https://api.datacite.org/dois?query=Lieve+Van den Block+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.6084/m9.figshare.15080066.v1;0.16666666666666666
10.1177/02692163211019321;https://api.datacite.org/dois?query=Lieve+Van den Block+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.6084/m9.figshare.15080063.v1;0.16666666666666666
10.1177/02692163211019321;https://api.datacite.org/dois?query=Lieve+Van den Block+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.6084/m9.figshare.15080066;0.16666666666666666
10.1177/02692163211019321;https://api.datacite.org/dois?query=Lieve+Van den Block+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.6084/m9.figshare.15080063;0.16666666666666666
